Date,Open,High,Low,Close,Volume,Change
2021-05-17,28476,29777,28342,28747,743763,-0.0587098886705959
2021-05-18,28657,29329,28522,29196,455314,-0.010606933477921965
2021-05-20,28747,29061,28433,28613,499590,-0.0062170047235343695
2021-05-21,29059,30853,28745,28926,1058049,0.020533446232006813
2021-05-24,29059,30315,28656,29464,749138,0.028160658826813734
2021-05-25,29284,30272,29240,30048,560433,0.04525689637179542
2021-05-26,30449,30449,29418,29419,501612,0.007638032607206524
2021-05-27,29196,29553,28836,29196,582463,0.02037535386013345
2021-05-28,29239,30899,28969,30227,1017057,0.044976837447279205
2021-05-31,30584,31572,30539,30855,814051,0.047210154765137124
2021-06-01,31211,33409,30853,32155,2320854,0.07012113951011711
2021-06-02,32019,32064,30271,30362,1496913,0.03205411468778685
2021-06-03,30316,30628,29957,30317,664577,0.03839567063981364
2021-06-04,30272,30854,29778,30048,670820,-0.005921857941575404
2021-06-07,30046,30270,29597,29599,600906,-0.04070653054610274
2021-06-08,29238,30135,29058,29599,680976,-0.07948997045560569
2021-06-09,29642,31212,29418,29509,1113566,-0.028094328436861882
2021-06-10,29285,30317,29151,29914,1057837,-0.013292871986014476
2021-06-11,30182,30227,29643,30003,612747,-0.0014976038338657682
2021-06-14,30003,30674,29643,30093,686364,0.016689753032196997
2021-06-15,30002,30092,29463,29868,577419,0.009088144869759063
2021-06-16,29819,29865,29506,29688,473168,0.006065945982581589
2021-06-17,29956,30807,29641,30495,1488009,0.019422344052951734
2021-06-18,30720,33321,30317,32470,4231313,0.08222511082225115
2021-06-21,32154,33051,31257,31438,1102603,0.044694779516831096
2021-06-22,31527,31572,30047,30227,1412432,0.01201955269854027
2021-06-23,30407,30451,29778,29914,865500,0.007612503368364276
2021-06-24,29730,30135,29551,29688,619371,-0.02646335464830296
2021-06-25,29641,29956,29551,29778,595472,-0.08290729904527261
2021-06-28,30045,30493,29686,29778,592158,-0.05280234111584703
2021-06-29,29776,29866,29418,29464,655122,-0.02524233301353096
2021-06-30,29419,31437,29419,29958,1622315,0.0014708831985024151
2021-07-01,30046,30091,29597,29644,539946,-0.0014820803018054107
2021-07-02,29686,29956,29462,29644,588383,-0.004499966418161083
2021-07-05,29822,30673,29597,30317,942871,0.018100611189468818
2021-07-06,30628,31122,30271,30810,841824,0.04568286722780335
2021-07-07,30853,31706,30226,31034,1070712,0.03591695039722276
2021-07-08,31033,32648,30046,31169,1979355,0.05144379975711777
2021-07-09,30719,30988,30047,30362,966715,0.024220752934826617
2021-07-12,30360,30853,30181,30317,422095,0.0
2021-07-13,30317,32649,30092,31618,3105290,0.026225251541707184
2021-07-14,31617,32469,30899,31573,1254658,0.017368047947412535
2021-07-15,32019,38567,31436,33321,22657226,0.06904295935063676
2021-07-16,33319,33543,31838,32065,3767566,0.05608984915354709
2021-07-19,31750,31795,30719,31079,1600488,0.025134413035590608
2021-07-20,30449,30763,30270,30585,1174996,-0.03267126320450375
2021-07-21,30583,31167,30360,30989,887639,-0.0184968169005163
2021-07-22,30988,31033,30406,30407,842395,-0.08745235737222767
2021-07-23,30361,31257,30270,30945,1026120,-0.034929050366443115
2021-07-26,30898,31840,30584,31124,971727,0.0014479230348467542
2021-07-27,30987,31211,30360,30630,807031,0.0014713094654241754
2021-07-28,30719,32558,30450,31886,2269237,0.02894575494530316
2021-07-29,32018,32288,31346,32110,784985,0.056006840530141044
2021-07-30,32108,33365,31884,32335,1911890,0.04491840361932464
2021-08-02,32558,33544,32334,32963,1162705,0.05908623570235183
2021-08-03,33052,33456,31886,32470,947230,0.060071825008161994
2021-08-04,31750,32872,31392,32739,878934,0.026751552405444468
2021-08-05,32827,33320,32647,32828,722782,0.022360635316100996
2021-08-06,32469,32873,32244,32425,611023,0.002783361682387575
2021-08-09,32109,33813,31617,32694,2136162,-0.00816066498801682
2021-08-10,32691,32916,31884,31976,915580,-0.015214043732676319
2021-08-11,32065,32335,31482,31573,728232,-0.03561501573047432
2021-08-12,31571,33588,31571,32200,1806430,-0.019130010966248334
2021-08-13,31929,33633,31839,33501,2623241,0.03318427139552815
2021-08-17,34263,34397,32469,32649,1918669,-0.0013763993393283158
2021-08-18,33276,38927,32602,37672,16719199,0.17813360020015012
2021-08-19,38568,39464,35876,37044,4921110,0.1732809679156242
2021-08-20,37043,38253,36236,37313,3405254,0.1587888198757763
2021-08-23,38163,39061,37267,37313,2592302,0.1137876481299065
2021-08-24,37312,43546,37133,43323,15191251,0.3269319121565746
2021-08-25,44665,46011,42244,44533,7621556,0.18212465491611818
2021-08-26,43860,48166,43770,47539,6484028,0.28331173739337
2021-08-27,47089,51125,46282,48167,5819594,0.29089057433066223
2021-08-30,48614,61351,48167,52742,23450103,0.4135019966231608
2021-08-31,51574,51932,44577,49781,14410315,0.14906631581377106
2021-09-01,48255,55610,47986,54266,11125562,0.21855702512743358
2021-09-02,55880,58839,54713,57765,7889295,0.21510759586865524
2021-09-03,58391,59288,55162,58033,4147564,0.2048290323250359
2021-09-06,58570,60364,56596,58571,3182874,0.11051913086344856
2021-09-07,57764,61980,57315,60725,4150195,0.21984291195436012
2021-09-08,60365,61351,56597,57765,3408426,0.06447867909925176
2021-09-09,55251,59017,54981,59020,2506998,0.021725958625465225
2021-09-10,59288,59736,57494,58213,1622927,0.0031016835248909302
