date,title,user,views,recommends,unrecommends
2022-10-26 11:45:00,김거니 대통령님 엘비 주가조작 시원하게 한번 해주이소~,"
				lc******
			",214,13,2
2022-10-26 11:37:00,금투세 청원 동참해주세요,"
				babe****
			",168,4,0
2022-10-26 11:34:00,권리락 40200원.,"
				jws_****
			",287,2,0
2022-10-26 11:29:00,안 티들은 모 지리라고 하자,"
				jhj6****
			",154,1,3
2022-10-26 11:23:00,국민 청원 하세여~~~^^,"
				wcar****
			",133,1,0
2022-10-26 11:21:00,탄핵 당했다고 하자,"
				jhj6****
			",140,3,3
2022-10-26 11:19:00,줍줍   !,"
				kore****
			",125,1,1
2022-10-26 11:14:00,온세상이,"
				jk52****
			",140,1,0
2022-10-26 11:06:00,호박에 총 맞았다고 하자,"
				jhj6****
			",118,0,1
2022-10-26 11:04:00,머리가 돌았다고 하자,"
				jhj6****
			",116,0,0
2022-10-26 10:58:00,다음달에나 된다네,"
				jhj6****
			",236,0,0
2022-10-26 10:55:00,그냥 털렸다고 하자,"
				jhj6****
			",181,4,3
2022-10-26 10:54:00,실권주 초과청약,"
				pmho****
			",289,0,1
2022-10-26 10:50:00,ITI1000,"
				lyuj****
			",150,0,0
2022-10-26 10:43:00,시장이 이럴때라도,"
				gong****
			",115,1,0
2022-10-26 10:38:00,급하게 갈 필요도 없고 스므스한 차트로,"
				kmpk****
			",141,2,2
2022-10-26 10:33:00,cca0 까요. Khan 깐돌이. Jsto 조또,"
				kmpk****
			",106,0,1
2022-10-26 10:33:00,신주인수권 확인,"
				to******
			",552,0,1
2022-10-26 10:31:00,유증,"
				alph****
			",140,0,1
2022-10-26 10:28:00,"개미털기 막바지, 이제 한순간으로 치고 올라간다","
				kmpk****
			",234,6,1
2022-10-26 10:28:00,어지간합니다,"
				gong****
			",111,0,0
2022-10-26 10:27:00,꼬라지 보니 올릴 생각도 없는거 같은데.,"
				seok****
			",125,1,0
2022-10-26 10:26:00,1년뒤 주가예측,"
				kmpk****
			",146,1,3
2022-10-26 10:25:00,1년뒤 주가예측,"
				bo******
			",112,0,0
2022-10-26 10:21:00,그냥,"
				jhj6****
			",125,1,0
2022-10-26 10:16:00,Pre NDA,"
				lyuj****
			",205,0,0
2022-10-26 10:08:00,●●진회장 주머니 속에 그거 뭐요?●●,"
				eros****
			",210,4,0
2022-10-26 10:06:00,줍줍   !,"
				kore****
			",136,1,0
2022-10-26 10:03:00,평생,"
				phm2****
			",157,4,1
2022-10-26 09:48:00,유상증자 청약은 어떻게 하나요?,"
				ryuj****
			",605,3,0
2022-10-26 09:39:00,금투세(개인투자자양도세) 최대 수혜자는 공매도 치는 금융투자사 그리고 외국인~~!!,"
				meri****
			",254,7,0
2022-10-26 09:39:00,브랜드 평판1위,"
				58k8****
			",196,0,1
2022-10-26 09:38:00,유증값 30700원이면 30700다시 시작,"
				sune****
			",513,3,7
2022-10-26 09:35:00,"여기처럼 ㅆㄹㄱ는 없는거,","
				woo7****
			",116,0,0
2022-10-26 09:34:00,장초반 대화 나누어보세요,"
				eunh****
			",112,0,1
2022-10-26 09:26:00,나라가 멍멍이 판,"
				jhj6****
			",173,1,2
2022-10-26 09:26:00,줍줍   !,"
				kore****
			",139,1,0
2022-10-26 09:19:00,이번주 털리지 말고,"
				aiii****
			",290,4,7
2022-10-26 09:16:00,또 개폭락 ,"
				cc******
			",121,0,1
2022-10-26 09:14:00,신주인수권 들어왔네,"
				mimo****
			",365,1,3
2022-10-26 09:11:00,레쓰끼리롱입니다 ,"
				odan****
			",109,0,0
2022-10-26 09:09:00,노터스에게 가서 올려달라해라,"
				kang****
			",116,0,1
2022-10-26 09:09:00,NH투자,"
				yoon****
			",152,2,0
2022-10-26 09:06:00,진심 장초에 시원하게 쏘는 법이 없네,"
				zi******
			",125,1,0
2022-10-26 09:05:00,엘비는 또 ㅋㅋㅋㅋ 속는구나,"
				kang****
			",141,1,2
2022-10-26 09:04:00,Sang 는 스트레스 ,"
				cc******
			",101,0,0
2022-10-26 09:01:00,신주인수가격이  얼마인가여,"
				tlss****
			",424,0,1
2022-10-26 08:57:00,시간싸움 얼마 안남았다!,"
				sout****
			",166,1,1
2022-10-26 08:57:00,금일 종가 ,"
				kore****
			",179,4,3
2022-10-26 08:56:00,ㅋ 고소하다~~^^,"
				hans****
			",146,0,6
2022-10-26 08:55:00,엘또속,"
				kang****
			",141,1,3
2022-10-26 08:53:00,텨라 했냐 안했냐,"
				want****
			",150,3,3
2022-10-26 08:47:00,좀 올라서니깐 그대로 내리겠네,"
				jcu0****
			",152,2,4
2022-10-26 08:29:00,[코스닥선물시장폐쇄 헌법소원해야한다!!],"
				dcba****
			",138,0,0
2022-10-26 07:59:00,재명이 깜방갈때되니까 1찍들 발광하네 ㅋㅋ,"
				aksw****
			",361,26,31
2022-10-26 08:01:00,재명이 깜방갈때되니까 1찍들 발광하네 ㅋㅋ,"
				phg5****
			",179,9,13
2022-10-26 08:43:00,재명이 깜방갈때되니까 1찍들 발광하네 ㅋㅋ,"
				pup1****
			",95,3,2
2022-10-26 08:16:00,재명이 깜방갈때되니까 1찍들 발광하네 ㅋㅋ,"
				cuvi****
			",123,9,2
2022-10-26 07:59:00,레쓰끼리롱입니다 ,"
				odan****
			",116,0,1
2022-10-26 07:38:00,여기서 정치하는들중에,"
				1212****
			",168,5,2
2022-10-26 07:40:00,[삭제된 게시물의 답글]대부분 물려있는 모양인데,"
				jsoo****
			",114,1,0
2022-10-26 07:35:00,김의겸  니가 국회의원이냐,"
				17b8****
			",307,20,17
2022-10-26 07:34:00,먹고 싶은 분 손!,"
				jhj6****
			",156,5,3
2022-10-26 07:31:00,hlb 유증 이후 진행과정 자세히 알려준다 ㅋ,"
				12******
			",399,10,4
2022-10-26 08:13:00,멍멍아,"
				c106****
			",89,0,0
2022-10-26 07:30:00,아니 아직도 진양곤(개)사기주에 목을 매냐,"
				hans****
			",129,1,5
2022-10-26 07:24:00,2찍들은 ,"
				jk52****
			",146,4,7
2022-10-26 07:15:00,형이야 ㅎ 오랜만이제 ㅎ 아직도 안판놈 있니?,"
				12******
			",174,0,0
2022-10-26 08:15:00,지랄을 하네?,"
				c106****
			",78,0,0
2022-10-26 07:10:00,추악한 1찍놈들,"
				aksw****
			",162,12,5
2022-10-26 07:04:00,11월 MSCI 편입 편출 종목 예상 글 ,"
				jejk****
			",303,2,2
2022-10-26 01:57:00,추악한 2찍놈들.,"
				tngh****
			",508,29,28
2022-10-26 06:13:00,추악한 2찍놈들.,"
				jjm4****
			",127,8,3
2022-10-26 01:12:00,저기 밑에 있는 놈 봐,"
				sdjs****
			",349,8,5
2022-10-26 00:46:00,리써처가 엘비 15만 가는건 꿈깨란다,"
				pass****
			",742,4,17
2022-10-26 00:17:00,진 사장님~노가리하고 골뱅이,"
				daeh****
			",285,4,2
2022-10-26 00:16:00,유증,"
				kyun****
			",285,2,1
2022-10-26 00:03:00,진짜네...찐짜,"
				tngh****
			",372,9,5
2022-10-25 23:59:00,신주인수권,"
				sdjs****
			",1156,2,0
2022-10-25 23:43:00,2찍  놈들아,"
				tngh****
			",140,4,9
2022-10-25 23:35:00,고니  주둥이가  졸라  비싸네..,"
				tngh****
			",169,6,3
2022-10-25 23:16:00,조선총독놈과  왜구당 놈들,"
				tngh****
			",118,3,7
2022-10-25 23:00:00,도움이 필요합니다,"
				rldu****
			",1063,1,0
2022-10-25 22:45:00,야이  2찍  시키들아..,"
				tngh****
			",120,7,6
2022-10-25 22:43:00,"긴급 어휴 증말 간담이 써늘하내,대단해요, 내일 호제는 지금 시간외 단일가 대폭등 마감 입니다","
				sang****
			",213,1,3
2022-10-25 22:36:00,새로이나 리써처를 보더라도 엘비 주가는..,"
				pass****
			",427,2,8
2022-10-25 22:08:00,신한증권은,"
				pu******
			",239,0,0
2022-10-25 21:48:00,세상에나,"
				devi****
			",193,1,1
2022-10-25 21:47:00,급보!!!  HLB 는,"
				cc******
			",274,2,3
2022-10-25 21:09:00,금투세 유예 청원하고 백만원 받아가세요! !,"
				ahoo****
			",234,8,1
2022-10-25 20:38:00,징글징글하다 언제쯤 33만3천원가냐,"
				tkdy****
			",243,6,2
2022-10-25 20:28:00,쉿!! 엘스의 예언! 약이 진짜죠?,"
				ms******
			",181,2,3
2022-10-25 20:11:00,김의겸 한동훈한테 개처발리는거봐 엌 ㅋㅋ,"
				aksw****
			",443,23,22
2022-10-25 20:11:00,11월16일까지 예수금 준비해야되나요?,"
				kang****
			",807,0,7
2022-10-25 20:08:00,[삭제된 게시물의 답글]다음,"
				kang****
			",139,0,0
2022-10-25 20:16:00,[삭제된 게시물의 답글]지금 시간외 단일가 대폭등 입니다,"
				ccsu****
			",120,0,1
2022-10-25 19:51:00,1찍 욕하는 머저리 2찍에게...,"
				kang****
			",174,10,3
2022-10-25 20:01:00,[삭제된 게시물의 답글]2찍인가요?,"
				kang****
			",92,5,4
2022-10-25 19:19:00,지난번 신주인수권 가격얼마였나요,"
				ljm1****
			",912,0,0
2022-10-25 19:09:00,야이 2찍놈들아,"
				tngh****
			",215,9,14
2022-10-25 18:59:00,조선총독놈의 하루일과...,"
				tngh****
			",232,8,8
2022-10-25 18:49:00,고니야  쫌 잘하자,"
				tngh****
			",148,2,1
2022-10-25 18:37:00,ㅎ 공시 없음 좋은거?,"
				jhj6****
			",140,0,0
2022-10-25 18:24:00," 개미털기 막바지, 이제 한순간으로 치고 올라간다","
				kmpk****
			",341,1,12
2022-10-25 18:17:00,신고!!!) 꾸욱 kmpk 출현시,"
				cc******
			",193,4,5
2022-10-25 17:58:00,금투세 유예 현상금 2500만원 쏩니다.[와이스트릿],"
				bi******
			",206,0,0
