date,post_count,views_sum,net_recommends_sum,views_avg,net_recommends_avg,views_log_growth_5,net_recommends_log_growth_5,post_count_log_growth_5,views_log_growth_10,net_recommends_log_growth_10,post_count_log_growth_10,views_log_growth_20,net_recommends_log_growth_20,post_count_log_growth_20,label_1_ratio,Date,Open,High,Low,Close,Volume,Change,EMA5,EMA20,MACD,Signal,RSI,Bollenger_high,Bollenger_low
2022-05-18,1092,248596.0,1573.0,248596.0,1609.0,-0.1200206664524802,-0.2069787986101825,-0.2024174207970928,3.62196439667737,3.949380942507237,4.162552812248634,2.4844883878212194,2.587577601395642,2.4524713740348463,0.2728937728937728,2022-05-18,42245,47716,41303,46911,9075002,0.6870819247644393,39937.30644072192,32071.502660408714,3430.7980649274687,1350.317544098588,88.43629299163764,41950.6252629032,17951.774737096806
2022-05-19,838,166684.0,931.0,166684.0,967.0,0.315083268633499,-0.3799793510032237,1.1626735967209862,1.7436791974557206,2.1828506132241507,1.8037644153248784,1.349287559176098,1.5859314647587592,1.5952196634318214,0.2720763723150358,2022-05-19,44488,47359,42335,44400,4982169,0.4645248540422866,41424.87096048128,33245.645264179315,3963.4151494130056,1872.9370651614715,78.87605541769048,44275.09685735864,17313.703142641356
2022-05-20,415,109382.0,680.0,109382.0,716.0,0.0228963989522374,-0.0221003470006659,0.5148497740657161,1.7511971489461002,1.8551812956655511,1.355449685768792,2.125292218781581,4.175784894162275,2.531770958764218,0.3421686746987952,2022-05-20,45654,45654,43860,45655,1796621,0.1976652675760755,42834.91397365419,34427.48857235271,4435.654572877029,2385.480566704583,80.03759171347042,46546.64375042008,16885.45624957992
2022-05-23,485,107801.0,564.0,107801.0,600.0,-0.8355421539728591,-0.9864384917762368,-0.8116172653673672,-0.9555628204253394,-1.1934172903864195,-1.01403468616446,1.6427411585023173,1.6607312068216509,1.3089515677363317,0.2865979381443299,2022-05-23,45923,46371,41348,43144,1969660,0.0857933811501194,42937.9426491028,35257.632517842925,4554.7862627946815,2819.341705922603,71.55924476967961,47965.59005879509,17148.409941204907
2022-05-24,377,91307.0,612.0,91307.0,648.0,-0.6018723493669186,-0.4003077991010196,-0.7987729130340723,-0.2867890807334195,-0.7802871501042433,0.3639006836869138,1.4008010386089045,1.782542814123131,0.9486385657396744,0.3209549071618037,2022-05-24,42515,44487,41438,41574,1573227,0.0142226342367837,42483.29509940187,35859.19132566741,4470.974495490336,3149.66826383615,66.79495204372401,48921.48094583115,17730.81905416885
2022-05-25,298,81465.0,357.0,81465.0,393.0,-0.2946728624749475,-0.5998705550913844,-0.3311850337252939,-0.2717764635227101,-0.6219709020920503,0.1836647403404223,1.4835385279596298,0.6754922453212246,1.8684520900163093,0.3154362416107382,2022-05-25,42379,44399,41573,43637,1731272,-0.0697917332821725,42867.86339960125,36599.93500893718,4518.928529704994,3423.520317009919,69.65398171836979,50086.0444110029,18230.1555889971
2022-05-26,264,81136.0,695.0,81136.0,731.0,0.526614673576734,0.5352902641679816,1.0873127334141763,-0.9719405256834776,-0.4140917223325016,-1.254925131499863,0.9755843711267316,1.3214139011860315,0.6855999749245624,0.3977272727272727,2022-05-26,43726,44131,42919,44131,858680,-0.0060585585585585,43288.90893306751,37317.17929380031,4544.409000617277,3647.698053731391,70.31314223767424,51128.19786340171,18946.202136598287
2022-05-27,712,152927.0,1591.0,152927.0,1627.0,1.0299634313061343,0.9958981726838302,1.7889544183004464,0.1383266666648395,0.3905189704963578,0.3922106413062146,2.6599973550254736,3.145997865169679,3.39002408106403,0.2457865168539325,2022-05-27,46192,46281,41617,42112,1744345,-0.0776037673858285,42896.60595537834,37773.82888486694,4351.524366709615,3788.463316327036,64.17741885881338,51695.95751242509,19930.242487574906
2022-05-30,638,130969.0,502.0,130969.0,538.0,0.4747871738209074,0.3140489482925231,0.7612447968393854,0.1801143113459597,-0.2858216067988612,0.4300597631140915,1.93131146029206,1.56935968886669,1.7855094488828838,0.2460815047021943,2022-05-30,41662,42469,38882,39466,2207100,-0.0852493973669571,41753.0706369189,37934.98803868913,3939.736982688395,3818.718049599308,57.14008216377806,51917.62038867453,20865.679611325475
2022-05-31,338,87142.0,534.0,87142.0,570.0,0.0714122129454322,-0.2487770989211827,0.2470967923367026,0.5980268865221662,0.286513165246799,1.334409525750879,0.7047587100446249,0.8691728088970851,0.4855078157817008,0.272189349112426,2022-05-31,40091,40809,39329,40811,1514124,-0.0183528166642613,41439.04709127927,38208.89393976636,3679.5076991083697,3790.8759795011206,59.56712707283254,52114.33043631247,22027.869563687527
2022-06-02,289,74476.0,151.0,74476.0,187.0,0.7295446632744627,-0.7247287526102443,1.523291961720899,-0.3698100090359129,-1.1658210383615597,-0.5177222028250511,-1.3253728294612523,-2.359238328747979,-1.531756888989511,0.3114186851211072,2022-06-02,40274,41529,39600,40319,925515,-0.0760363911359626,41065.69806085285,38409.85642169338,3394.444782353552,3711.589740071607,58.26731962687208,52092.68770847244,23390.612291527563
2022-06-03,406,80543.0,380.0,80543.0,416.0,0.8138366121734033,0.2437878788945556,1.8954792954284208,-0.125436251677803,-0.4432054360910115,0.0741079721537218,-0.4122253324112224,-1.2234925861952548,0.4380086558406358,0.2684729064039409,2022-06-03,40408,40497,38658,38883,1108861,-0.1189186739480183,40338.13204056857,38454.91771486544,3017.869052333648,3572.845602524016,54.527408805247575,51749.89769292798,24975.702307072024
2022-06-07,721,132497.0,942.0,132497.0,978.0,0.5760830778267142,1.654401053180231,0.9142124491725168,1.305627741101177,0.9296723005699864,2.4375044108934163,-0.6292690851820579,-0.4978584769575658,-0.4151270190199013,0.2815533980582524,2022-06-07,39062,39107,36237,36417,1911996,-0.135234612462006,39031.08802704571,38260.83031344969,2491.721468388321,3356.620775696877,48.74165686311224,51194.031600315655,26486.968399684345
2022-06-08,864,126060.0,502.0,126060.0,538.0,0.4479667807832286,0.2571732999005212,0.755219609202323,1.261803392956632,0.5009611787950767,2.6506989046307443,-0.2793418202614929,-0.58633993529151,0.0305546683219726,0.2685185185185185,2022-06-08,36056,36908,33814,34129,2599137,-0.1352303248365681,37397.05868469714,37867.32266454972,1868.5833730649028,3059.0132951704823,44.069370741168825,50440.27282836034,28007.62717163965
2022-06-09,814,126938.0,542.0,126938.0,578.0,1.3596012368893788,0.6101808827641241,2.38447225246623,-0.0312618756966479,0.071715308510593,0.2436220826577505,0.1488524356493117,-0.2141062982882682,0.673681845771842,0.2985257985257985,2022-06-09,34486,37851,32872,35430,5805899,-0.1318517066477175,36741.37245646477,37635.19669649737,1462.858843987422,2739.78240493387,47.17044424859324,49311.20537464203,30087.59462535798
2022-06-10,514,87220.0,838.0,87220.0,874.0,0.8379516246814922,1.131173304717422,1.9381581722509955,0.000894690416525,0.4274440148269396,0.4191773699721463,0.5989215769386911,0.7139571800737385,1.7535868957230254,0.2645914396887159,2022-06-10,34619,34665,32826,33546,1883405,-0.1679853170961581,35676.24830430985,37245.749392069054,978.0221463456546,2387.430353216227,43.41635971743383,48432.67729594508,31540.122704054927
2022-06-13,332,72943.0,316.0,72943.0,352.0,-0.5470796698545924,-0.4242273845636873,-0.9564377998875672,-0.0991128890713637,-0.1670540846631662,-0.2012181906852441,-0.2245491407491667,-0.6102595207541777,-0.1271102185315222,0.2650602409638554,2022-06-13,32334,34262,32289,32694,1303701,-0.1591698171437389,34682.165536206565,36812.24944996724,519.0529713118376,2013.7548768353493,41.79635646967573,48056.31654166579,32154.18345833421
2022-06-14,235,47182.0,219.0,47182.0,255.0,-0.9896863143545372,-0.8183103235139514,-1.2423748518583817,0.3699149225348416,-0.2081294407498271,1.1420974006078486,-0.546161016230278,-0.4325460667108351,-0.2375079723612454,0.2723404255319149,2022-06-14,32334,33410,31750,32739,1146910,-0.1009967872147623,34034.44369080438,36424.32093092274,157.1363473245292,1642.4311709331853,41.91962422801282,48379.8521371131,31292.54786288689
2022-06-15,232,38040.0,307.0,38040.0,343.0,-0.8297954247374308,-0.9353499284895956,-0.7954858937888551,0.0081561999440614,0.1958233762278263,1.14267227846214,-0.7574885213754737,-0.7566830125838385,-0.1292117314800062,0.2672413793103448,2022-06-15,32827,33276,31123,31483,965073,-0.0775293738462891,33183.962460536255,35953.71893750153,-228.40102300541184,1268.264732145466,39.41076659498484,48711.55879405143,30135.641205948566
2022-06-16,390,50333.0,473.0,50333.0,509.0,0.458848783686258,0.760177342879048,1.5353299402803786,0.1039861754500852,0.0968831254687838,1.466337068793427,-1.111299757741138,-1.1620450906685151,-0.6019311722882837,0.2512820512820513,2022-06-16,32018,32242,30404,30675,872167,-0.1342082980524979,32347.641640357502,35450.98380059662,-592.3131960786559,896.1491465006417,37.84171976181664,48908.71155045366,28906.88844954634
2022-06-17,198,34182.0,205.0,34182.0,241.0,0.0444770287130742,0.8404060343492824,0.9315582040049436,-1.3548608139342069,-1.4007127365441625,-1.292372106590414,-0.0492330728330295,-0.4710404359741759,1.1451323043030026,0.3232323232323232,2022-06-17,29912,30809,29687,30317,876098,-0.0962558874381446,31670.76109357168,34962.032962444566,-899.2379676194832,537.0717236766168,37.13625475595927,48038.76013675789,28117.439863242107
2022-06-20,188,31548.0,141.0,31548.0,177.0,-0.187128042141445,-0.6615807145921108,-0.2102954088363608,-1.016923466878876,-1.5969306430817063,-1.005781302625216,-1.016028776462351,-1.169486628254767,-0.5866039326530696,0.3404255319148936,2022-06-20,30315,30405,29194,29644,659410,-0.0932892885544748,30995.17406238112,34455.55363268794,-1183.1449770304462,193.02838353520423,35.78564410593556,47502.52808443099,27178.071915569013
2022-06-21,142,31384.0,66.0,31384.0,102.0,-0.472362716701078,-1.6074752032662516,-1.0103196815224311,-0.0135139330148198,-0.8472978603872037,0.5250102587579472,-0.3400255098675378,-1.252762968495368,0.4125322753312568,0.2112676056338028,2022-06-21,29822,30406,29151,29958,623406,-0.0849445615321177,30649.449374920747,34027.21519147956,-1367.0476769731613,-118.98682856646886,36.93803243589317,46448.86927697387,26662.030723026124
2022-06-22,186,29431.0,53.0,29431.0,89.0,-0.1496506491251415,-0.9961605637585152,-0.0625203569813339,-0.1051736204120672,-0.1557545294092328,0.8690378470236095,-0.9284283852326338,-0.7424722471224467,-0.4406800143992309,0.2795698924731182,2022-06-22,29732,30181,28970,29285,681878,-0.0698154559603595,30194.63291661383,33575.57564943389,-1549.2387076750238,-405.0372043881799,35.46882336195708,45754.37123854725,25970.628761452743
2022-06-23,162,23710.0,208.0,23710.0,244.0,0.4539210809726317,0.8721954120089308,1.5040773967762742,-1.1237814141530575,-0.3664629503048952,-0.7175386336841044,-1.222894303224421,-0.5335170349680614,-0.9187568243693486,0.228395061728395,2022-06-23,28970,30226,28387,28523,901673,-0.0701548492257538,29637.421944409223,33094.377968535424,-1735.112151014946,-671.0521937135331,33.828184031063216,45229.69232153695,25190.207678463048
2022-06-24,137,28236.0,74.0,28236.0,110.0,0.7300133933245043,-0.1198011998126206,1.624144059823796,-0.5134147043914147,-0.8407831793660099,-0.5396045883160341,-0.143499781856573,-1.0489126201158372,0.6024928122918145,0.2627737226277372,2022-06-24,28881,30317,28657,30138,743077,-0.005904278127783,29804.281296272817,32812.81816200824,-1732.1342259848025,-883.2686001677871,40.14724731409448,43996.2318014093,25073.768198590693
2022-06-27,137,24866.0,62.0,24866.0,98.0,-0.1685471320704261,0.0963311089384321,-0.3057657478850763,-0.3181977811955677,-0.899829454820083,-0.3682861048664103,-1.6730585951297745,-2.300542191364245,-1.6606582114568242,0.3138686131386861,2022-06-27,30180,31390,29552,30585,779277,0.0317433544730805,30064.52086418188,32600.64500372174,-1674.403552801814,-1041.4955906945925,41.803758113568136,42365.56829000067,25349.83170999932
